Country,Year,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,Country_WB,Country Name,GDP_pc,Population,Inbound_Per_Capita,Outbound_Per_Capita
Poland,2024,238406,238488,476894,Poland,Poland,25103.565661423,36559233.0,0.006523331602717158,0.006521088667259513
Portugal,2016,185434,185384,370818,Portugal,Portugal,19980.2808866516,10325452.0,0.017954080847986123,0.01795892325101119
Portugal,2017,205488,205518,411006,Portugal,Portugal,21442.3842768879,10300300.0,0.01995262273914352,0.019949710202615458
Portugal,2018,215936,215953,431889,Portugal,Portugal,23541.1401075289,10283822.0,0.020999293842308822,0.020997640760409893
Portugal,2019,221350,221235,442585,Portugal,Portugal,23343.3628970034,10286263.0,0.021507810951362998,0.02151899091049879
Portugal,2020,96945,96687,193632,Portugal,Portugal,22299.4044062173,10297081.0,0.009389748415109098,0.009414804059519392
Portugal,2021,127859,127758,255617,Portugal,Portugal,24711.4510062111,10361831.0,0.012329674166660313,0.012339421478694258
Portugal,2022,213114,212977,426091,Portugal,Portugal,24620.5197587181,10434332.0,0.020411177256004505,0.020424306989656835
Portugal,2023,237204,237090,474294,Portugal,Portugal,27634.6183139773,10578174.0,0.02241313103754958,0.02242390794479274
Portugal,2024,241017,240946,481963,Portugal,Portugal,29292.242104753,10694681.0,0.02252951724319781,0.02253615605738965
Romania,2016,55567,55519,111086,Romania,Romania,9404.54005870715,19702267.0,0.0028178990772990743,0.0028203353451661172
Romania,2017,60111,60052,120163,Romania,Romania,10727.9822007426,19588715.0,0.0030656426416944653,0.003068654579945647
Romania,2018,63748,63666,127414,Romania,Romania,12416.134317959,19473970.0,0.003269287156137141,0.0032734979051523647
Romania,2019,64478,64541,129019,Romania,Romania,12909.6104013244,19371648.0,0.0033317247969816507,0.0033284726214310727
Romania,2020,28311,28345,56656,Romania,Romania,13009.1770573223,19265250.0,0.0014713019555936207,0.0014695371199439406
Romania,2021,38813,38824,77637,Romania,Romania,14907.9803652143,19122059.0,0.0020303252908068113,0.0020297500389471657
Romania,2022,53950,53957,107907,Romania,Romania,15503.551804598,19048502.0,0.002832611194308088,0.0028322437113427607
Romania,2023,58880,58909,117789,Romania,Romania,18244.4186876321,19061062.0,0.003090541335000117,0.003089019908754297
Romania,2024,62299,62328,124627,Romania,Romania,20080.2096215595,19051804.0,0.0032715012184672907,0.003269979052902287
Slovakia,2016,10455,10496,20951,Slovak Republic,Slovak Republic,16636.0769133073,5430798.0,0.0019326809798486336,0.0019251314447711
Slovakia,2017,11084,11126,22210,Slovak Republic,Slovak Republic,17645.5298716761,5439232.0,0.0020455093660281453,0.002037787687673554
Slovakia,2018,11941,11965,23906,Slovak Republic,Slovak Republic,19573.3717031314,5446771.0,0.0021967143469038813,0.0021923080665590677
Slovakia,2019,11272,11321,22593,Slovak Republic,Slovak Republic,19406.0589683582,5454147.0,0.0020756682942355605,0.0020666843046217858
Slovakia,2020,4505,4548,9053,Slovak Republic,Slovak Republic,19735.4858280801,5458827.0,0.0008331460220300076,0.0008252688718656957
